Log_Date,ATM_ID,Location_Type,Region,Max_Capacity_IDR,Beginning_Cash_IDR,Replenishment_Amount_IDR,Target_Demand_IDR,Actual_Withdrawal_IDR,Ending_Cash_IDR,Is_Stockout,Holding_Cost_IDR,Logistics_Cost_IDR,Stockout_Penalty_Cost_IDR
2025-11-01,ATM-001,Shopping Mall,Jakarta Pusat,800000000,530282000.0,0.0,89300000.0,89300000.0,440982000.0,0,66524.93,0.0,0
2025-11-02,ATM-001,Shopping Mall,Jakarta Pusat,800000000,440982000.0,0.0,103200000.0,103200000.0,337782000.0,0,53340.0,0.0,0
2025-11-03,ATM-001,Shopping Mall,Jakarta Pusat,800000000,337782000.0,0.0,38400000.0,38400000.0,299382000.0,0,43641.37,0.0,0
2025-11-04,ATM-001,Shopping Mall,Jakarta Pusat,800000000,299382000.0,0.0,33200000.0,33200000.0,266182000.0,0,38737.26,0.0,0
2025-11-05,ATM-001,Shopping Mall,Jakarta Pusat,800000000,266182000.0,0.0,63000000.0,63000000.0,203182000.0,0,32148.22,0.0,0
2025-11-06,ATM-001,Shopping Mall,Jakarta Pusat,800000000,203182000.0,0.0,50200000.0,50200000.0,152982000.0,0,24394.79,0.0,0
2025-11-07,ATM-001,Shopping Mall,Jakarta Pusat,800000000,152982000.0,647018000.0,61400000.0,61400000.0,738600000.0,0,61067.26,372000.0,0
2025-11-08,ATM-001,Shopping Mall,Jakarta Pusat,800000000,738600000.0,0.0,59900000.0,59900000.0,678700000.0,0,97075.34,0.0,0
2025-11-09,ATM-001,Shopping Mall,Jakarta Pusat,800000000,678700000.0,0.0,71600000.0,71600000.0,607100000.0,0,88068.49,0.0,0
2025-11-10,ATM-001,Shopping Mall,Jakarta Pusat,800000000,607100000.0,0.0,42800000.0,42800000.0,564300000.0,0,80232.88,0.0,0
2025-11-11,ATM-001,Shopping Mall,Jakarta Pusat,800000000,564300000.0,0.0,52100000.0,52100000.0,512200000.0,0,73732.88,0.0,0
2025-11-12,ATM-001,Shopping Mall,Jakarta Pusat,800000000,512200000.0,0.0,47600000.0,47600000.0,464600000.0,0,66904.11,0.0,0
